		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    3    1    1    4    5    5    1  9.465122 0.304589 SUCCESS   0
000000011    1    3    3    2    2    2    2    1  2.309120 0.970039 SUCCESS   1
000000101    0    1    2    1    3    3    5    1  8.240459 0.410341 SUCCESS   2
000000111    2    4    4    4    1    0    4    3  7.770453 0.456208 SUCCESS   3
000001001    4    1    0    4    3    2    2    7 14.612015 0.067143 SUCCESS   4
000001011    2    1    4    1    3    3    4    3  4.318229 0.827331 SUCCESS   5
000001101    0    3    2    3    3    2    4    2  4.192453 0.839356 SUCCESS   6
000001111    5    2    3    2    5    0    5    3 11.348454 0.182726 SUCCESS   7
000010001    0    4    3    2    5    2    1    1  8.366235 0.398537 SUCCESS   8
000010011    4    1    0    2    4    3    2    4  6.797343 0.558648 SUCCESS   9
000010101    2    2    2    2    6    1    4    2  7.707565 0.462545 SUCCESS  10
000010111    4    2    4    3    4    2    2    4  4.569781 0.802412 SUCCESS  11
000011001    0    1    2    1    2    4    1    5  9.087793 0.334944 SUCCESS  12
000011011    0    3    0    1    3    1    4    1  8.899129 0.350877 SUCCESS  13
000011101    1    4    2    5    2    1    2    0  8.303347 0.404413 SUCCESS  14
000011111    4    4    3    0    4    0    4    2  9.402234 0.309508 SUCCESS  15
000100011    3    2    1    2    3    2    1    1  3.093566 0.928349 SUCCESS  16
000100101    6    0    4    3    3    1    1    3 11.096902 0.196269 SUCCESS  17
